dayofyear,weather_wdwprecip,wdwmintemp,wdwmeantemp,wdwmaxtemp
0,0.12,54.934285714285714,64.50857142857143,74.07714285714285
1,0.12,56.91,65.97500000000001,75.03833333333334
2,0.07,58.723333333333336,66.54833333333333,74.37
3,0.12,55.129999999999995,64.25166666666667,73.37
4,0.12,47.525999999999996,56.286,65.042
5,0.12,48.275,59.04833333333334,69.81666666666666
6,0.12,47.51333333333333,59.166666666666664,70.81833333333333
7,0.08,47.60166666666667,57.044999999999995,66.48166666666667
8,0.11,50.965,60.185,69.4
9,0.08,52.82333333333333,61.546666666666674,70.265
10,0.08,55.093333333333334,64.67666666666666,74.26
11,0.08,57.923333333333325,67.49833333333333,77.06833333333333
12,0.12,56.51500000000001,64.53500000000001,72.55166666666666
13,0.12,52.708333333333336,61.276666666666664,69.84
14,0.08,55.18833333333333,62.57833333333334,69.96666666666667
15,0.07,52.51166666666666,62.26666666666667,72.02
16,0.04,51.096666666666664,61.91833333333333,72.73333333333333
17,0.08,48.92666666666667,59.105,69.27333333333333
18,0.08,49.19,60.195,71.19500000000001
19,0.12,47.09166666666667,58.6,70.10166666666667
20,0.08,48.64166666666667,59.576666666666675,70.51
21,0.08,51.574999999999996,62.35333333333333,73.12666666666667
22,0.08,55.57333333333333,63.95666666666667,72.33333333333333
23,0.07,50.14333333333334,59.971666666666664,69.795
24,0.08,45.65833333333333,56.935,68.205
25,0.08,51.31166666666667,60.915,70.515
26,0.08,53.68,60.370000000000005,67.05499999999999
27,0.08,52.07666666666666,58.52166666666667,64.96333333333332
28,0.08,47.175000000000004,57.185,67.18666666666667
29,0.04,47.653333333333336,56.61166666666667,65.56166666666667
30,0.08,48.05833333333334,58.97,69.875
31,0.04,51.645,62.458333333333336,73.265
32,0.08,55.10166666666667,64.97666666666667,74.85000000000001
33,0.04,54.095,64.00166666666667,73.90333333333334
34,0.04,55.24166666666667,64.86,74.47166666666666
35,0.04,52.678333333333335,62.39666666666667,72.10833333333333
36,0.04,54.19833333333333,65.22,76.24
37,0.03,53.318333333333335,63.84166666666667,74.35833333333333
38,0.08,51.82,63.373333333333335,74.92166666666667
39,0.08,55.67333333333334,64.655,73.63
40,0.12,54.30833333333334,63.43000000000001,72.54833333333333
41,0.08,54.35166666666667,65.94166666666666,77.53
42,0.12,57.63,68.81,79.98666666666666
43,0.12,56.935,65.64166666666667,74.34666666666666
44,0.11,52.17666666666667,62.645,73.10666666666667
45,0.12,56.19833333333333,66.73666666666666,77.26833333333333
46,0.12,56.053333333333335,66.79,77.52
47,0.12,56.300000000000004,67.93,79.55166666666666
48,0.12,57.098333333333336,67.04166666666667,76.98333333333333
49,0.11,58.473333333333336,67.17833333333333,75.88000000000001
50,0.12,57.42666666666667,67.52166666666666,77.61333333333333
51,0.16,56.425000000000004,66.55666666666666,76.68166666666666
52,0.12,58.24666666666667,68.205,78.15666666666667
53,0.12,61.86833333333333,71.01333333333334,80.15666666666667
54,0.11,62.6,71.72333333333334,80.84333333333333
55,0.12,59.52666666666667,68.45333333333333,77.37666666666667
56,0.16,58.17166666666666,67.03666666666668,75.89666666666666
57,0.16,54.324999999999996,63.12,71.91
58,0.15,54.655,64.93166666666666,75.21
59,0.15,59.23333333333333,69.17666666666666,79.11666666666666
60,0.12,58.07,69.40833333333333,80.74
61,0.12,57.324999999999996,68.0,78.67
62,0.11,56.18666666666667,67.65666666666667,79.12333333333333
63,0.12,57.38833333333333,66.86166666666666,76.33333333333333
64,0.16,53.916666666666664,64.49333333333333,75.06833333333333
65,0.16,53.31,63.120000000000005,72.92999999999999
66,0.12,52.24166666666667,62.836666666666666,73.425
67,0.15,54.22833333333333,65.95333333333333,77.67333333333333
68,0.16,58.666666666666664,69.44666666666667,80.22333333333334
69,0.12,62.805,72.95666666666666,83.10833333333333
70,0.16,62.31833333333333,70.39666666666666,78.46833333333333
71,0.07,60.06333333333333,69.02333333333333,77.98
72,0.12,59.67666666666667,69.2,78.72
73,0.12,57.31,67.174,77.036
74,0.12,54.898,66.372,77.84
75,0.16,56.688,67.63,78.566
76,0.11000000000000001,58.64200000000001,69.018,79.384
77,0.12,62.327999999999996,70.84,79.348
78,0.12,61.096000000000004,69.652,78.208
79,0.12,59.034000000000006,68.72200000000001,78.40599999999999
80,0.12,55.284000000000006,65.586,75.882
81,0.12,54.534000000000006,65.51400000000001,76.49
82,0.11000000000000001,56.326,67.576,78.82000000000001
83,0.12,58.827999999999996,70.13199999999999,81.42999999999999
84,0.12,63.001999999999995,72.14399999999999,81.28
85,0.12,62.42999999999999,70.91799999999999,79.402
86,0.12,60.274,69.976,79.674
87,0.07,61.21,70.79400000000001,80.372
88,0.12,60.422000000000004,70.954,81.476
89,0.08,63.44199999999999,72.296,81.144
90,0.12,64.244,73.268,82.286
91,0.12,64.716,74.42999999999999,84.142
92,0.12,65.01,73.1125,81.2075
93,0.07,64.186,73.42999999999999,82.67
94,0.12,64.048,73.68199999999999,83.31
95,0.08,62.779999999999994,73.338,83.888
96,0.08,63.638,72.464,81.288
97,0.08,62.262,71.784,81.3
98,0.08,62.760000000000005,73.55,84.332
99,0.08,63.39,71.75800000000001,80.12
100,0.08,61.589999999999996,71.982,82.37
101,0.03,62.870000000000005,73.20599999999999,83.536
102,0.08,65.348,74.80199999999999,84.25399999999999
103,0.08,67.5275,76.2925,85.05
104,0.04,65.852,74.874,83.89000000000001
105,0.04,63.604,71.814,80.014
106,0.12,62.29600000000001,71.67,81.042
107,0.08,62.510000000000005,73.99199999999999,85.47200000000001
108,0.08,64.06,74.298,84.532
109,0.08,61.760000000000005,71.44800000000001,81.13
110,0.07,61.541999999999994,72.09400000000001,82.64
111,0.12,64.79400000000001,74.072,83.35
112,0.08,66.764,75.174,83.58
113,0.12,66.86800000000001,75.122,83.374
114,0.08,63.07000000000001,73.536,83.994
115,0.08,65.19200000000001,74.854,84.51
116,0.11000000000000001,65.70599999999999,75.81,85.912
117,0.08,65.89200000000001,75.86999999999999,85.842
118,0.08,67.33,77.404,87.476
119,0.04,65.458,74.814,84.162
120,0.08,65.48833333333333,75.71,85.92666666666666
121,0.04,66.08999999999999,75.46166666666666,84.83166666666666
122,0.04,66.315,76.72833333333334,87.14166666666667
123,0.04,67.62,77.17,86.71000000000001
124,0.04,67.444,74.03999999999999,80.634
125,0.08,65.654,73.442,81.22999999999999
126,0.07,62.67,73.872,85.074
127,0.04,62.73,74.166,85.6
128,0.08,65.00333333333333,75.46,85.91166666666668
129,0.08,66.076,77.452,88.822
130,0.08,66.655,78.21,89.76333333333334
131,0.12,69.894,78.106,86.316
132,0.08,69.55166666666666,76.93666666666667,84.315
133,0.08,69.218,76.664,84.106
134,0.11000000000000001,70.61,78.192,85.772
135,0.08,68.17999999999999,77.99333333333334,87.805
136,0.08,69.87,78.356,86.838
137,0.08,69.13,78.19800000000001,87.264
138,0.12,69.94800000000001,78.964,87.97999999999999
139,0.08,71.33,80.04333333333334,88.755
140,0.12,71.395,79.76,88.12166666666667
141,0.11,72.33,80.74166666666666,89.14999999999999
142,0.12,70.92666666666666,80.33666666666666,89.74333333333334
143,0.16,70.65,79.282,87.912
144,0.12,70.024,78.574,87.116
145,0.15,69.61666666666667,78.88166666666667,88.14
146,0.16,68.76333333333334,78.69,88.61333333333334
147,0.16,70.08,79.28200000000001,88.47999999999999
148,0.2,70.718,80.386,90.054
149,0.19000000000000003,72.77,81.08999999999999,89.40833333333335
150,0.20000000000000004,72.61333333333333,80.23166666666667,87.84833333333334
151,0.20000000000000004,72.16833333333334,81.33666666666666,90.49666666666667
152,0.24,72.11833333333333,79.65833333333333,87.195
153,0.27,72.42166666666667,79.23,86.03500000000001
154,0.28,73.20166666666667,81.44,89.67
155,0.23000000000000004,74.268,81.824,89.376
156,0.28,73.26,80.28333333333333,87.30000000000001
157,0.27,73.03333333333333,79.99166666666666,86.94833333333334
158,0.28,73.42999999999999,79.912,86.39
159,0.28,71.92999999999999,80.80333333333333,89.67166666666667
160,0.27,72.07000000000001,79.184,86.298
161,0.32,72.55,80.29400000000001,88.03
162,0.27,73.262,80.498,87.732
163,0.32,73.36,80.77166666666666,88.175
164,0.31,72.77833333333334,80.84666666666666,88.91333333333334
165,0.32,72.45666666666666,81.01666666666667,89.56833333333333
166,0.31,72.46833333333333,80.73333333333333,88.995
167,0.32,72.60833333333333,81.48333333333333,90.35666666666667
168,0.31,74.935,82.41000000000001,89.87666666666667
169,0.32,72.99166666666667,81.87333333333333,90.74833333333333
170,0.3499999999999999,73.55499999999999,81.925,90.29
171,0.32,74.785,82.825,90.86166666666666
172,0.31,74.70333333333333,83.21166666666666,91.71499999999999
173,0.28,74.67333333333333,83.88166666666667,93.085
174,0.31,75.205,84.42833333333333,93.64833333333333
175,0.28,75.395,84.38333333333333,93.36833333333334
176,0.27,75.47666666666667,84.145,92.80333333333333
177,0.28,74.80833333333334,83.05833333333334,91.30166666666666
178,0.27,74.54857142857142,83.35571428571428,92.15857142857143
179,0.28,75.03166666666667,82.62166666666667,90.20666666666666
180,0.31,74.14333333333333,82.68666666666667,91.22666666666667
181,0.28,75.06,82.94833333333334,90.83166666666666
182,0.28,74.72833333333334,83.47166666666666,92.21166666666666
183,0.27,75.50166666666667,83.61666666666666,91.72666666666667
184,0.28,74.70333333333333,82.69833333333334,90.68833333333333
185,0.27,74.50500000000001,83.015,91.52333333333333
186,0.28,74.17,82.53833333333334,90.90166666666666
187,0.27,74.71833333333333,82.13166666666667,89.54
188,0.28,75.03500000000001,82.89999999999999,90.75999999999999
189,0.24,75.53,82.92142857142858,90.30571428571429
190,0.27,75.41571428571429,83.60857142857142,91.79714285714286
191,0.24,75.57142857142857,83.71714285714286,91.85571428571428
192,0.23,74.76571428571428,83.43857142857144,92.10714285714286
193,0.24,74.80857142857143,83.39999999999999,91.98428571428572
194,0.2,75.95285714285714,83.94571428571429,91.9342857142857
195,0.23,75.47285714285714,83.6842857142857,91.89428571428572
196,0.2,75.71428571428571,83.78285714285714,91.8442857142857
197,0.2,74.74571428571429,82.9042857142857,91.05857142857143
198,0.19,74.82714285714285,82.51571428571428,90.2
199,0.2,75.56714285714285,82.76142857142858,89.94714285714285
200,0.2,75.59285714285714,82.60428571428572,89.61428571428571
201,0.19,75.20714285714287,82.17999999999999,89.14857142857143
202,0.24,74.68166666666667,81.60666666666667,88.52499999999999
203,0.20000000000000004,74.42666666666666,81.49166666666666,88.55
204,0.23,74.80666666666666,81.40666666666667,88.0
205,0.24,74.685,81.47166666666668,88.25166666666667
206,0.24,75.085,82.20333333333333,89.315
207,0.19000000000000003,75.48666666666666,82.85333333333334,90.21499999999999
208,0.20000000000000004,75.92166666666667,83.47833333333334,91.03166666666668
209,0.20000000000000004,75.605,83.355,91.09833333333334
210,0.19000000000000003,75.705,82.485,89.26166666666667
211,0.20000000000000004,74.57666666666667,81.44,88.3
212,0.20000000000000004,74.43166666666667,82.39333333333333,90.34833333333334
213,0.28,74.645,81.62333333333333,88.60000000000001
214,0.23,75.11166666666666,82.13833333333334,89.15833333333335
215,0.24,75.29333333333334,82.95333333333333,90.61
216,0.23,75.56166666666667,82.75,89.93833333333333
217,0.24,75.17999999999999,83.02333333333333,90.86166666666666
218,0.28,76.53,83.55666666666666,90.57833333333333
219,0.23,76.43166666666667,83.58166666666666,90.72166666666668
220,0.24,76.12,83.34666666666666,90.565
221,0.27,76.58666666666666,83.16,89.72833333333334
222,0.24,76.625,83.17166666666667,89.71499999999999
223,0.24,76.165,83.495,90.82000000000001
224,0.23,75.675,82.02333333333333,88.36666666666667
225,0.24,74.93666666666667,82.36333333333333,89.78666666666668
226,0.27,75.57333333333334,82.56833333333333,89.55666666666667
227,0.24,76.05166666666666,82.89833333333333,89.74333333333334
228,0.28,76.13,82.79833333333333,89.46166666666666
229,0.23,75.75,83.79166666666667,91.83
230,0.28,75.75833333333334,83.80333333333333,91.84333333333332
231,0.23,75.875,82.99333333333334,90.10666666666667
232,0.24,76.24166666666667,84.16,92.07166666666666
233,0.28,76.31666666666666,84.12666666666667,91.93333333333334
234,0.23,76.645,83.985,91.32
235,0.28,76.56666666666666,83.65666666666667,90.74333333333334
236,0.23,77.075,83.94166666666666,90.80333333333333
237,0.28,75.34666666666666,83.15333333333334,90.955
238,0.28,76.04833333333333,81.82166666666667,87.59166666666665
239,0.23,75.59666666666666,82.38166666666667,89.16000000000001
240,0.28,75.87,82.58833333333332,89.305
241,0.23,75.20833333333333,81.32833333333333,87.44666666666667
242,0.28,75.86333333333333,82.47500000000001,89.08166666666666
243,0.27,75.602,82.252,88.898
244,0.24,75.62,81.852,88.08
245,0.23000000000000004,75.446,81.082,86.712
246,0.24,75.00399999999999,81.636,88.262
247,0.2,76.358,83.49600000000001,90.63
248,0.23000000000000004,76.466,82.12,87.768
249,0.24,74.02000000000001,81.214,88.402
250,0.23000000000000004,74.668,81.886,89.098
251,0.24,75.20599999999999,82.414,89.614
252,0.24,75.55199999999999,82.126,88.694
253,0.23000000000000004,75.50399999999999,82.53999999999999,89.572
254,0.24,74.876,82.068,89.252
255,0.24,75.072,81.342,87.606
256,0.19,75.02799999999999,81.812,88.59200000000001
257,0.24,75.832,82.49600000000001,89.16
258,0.2,75.422,82.922,90.418
259,0.19,74.72,82.098,89.474
260,0.2,74.806,82.124,89.44200000000001
261,0.2,74.588,81.72,88.846
262,0.19,73.512,81.562,89.606
263,0.16,72.97,80.358,87.744
264,0.16,73.468,81.19800000000001,88.918
265,0.16,73.418,81.00800000000001,88.596
266,0.19,73.012,81.204,89.39
267,0.16,73.586,82.082,90.572
268,0.2,74.106,82.346,90.576
269,0.15,74.486,82.356,90.224
270,0.16,74.05199999999999,82.078,90.104
271,0.2,73.64200000000001,80.90799999999999,88.16600000000001
272,0.12,74.4,81.572,88.738
273,0.15,74.50399999999999,81.464,88.428
274,0.16,73.914,80.768,87.61800000000001
275,0.12,72.438,79.324,86.20599999999999
276,0.15,71.28999999999999,77.95,84.604
277,0.16,71.71799999999999,78.372,85.024
278,0.12,72.058,79.636,87.212
279,0.12,73.36600000000001,79.88,86.392
280,0.11000000000000001,74.144,79.34,84.532
281,0.12,74.272,80.42999999999999,86.584
282,0.12,74.32000000000001,80.574,86.826
283,0.16,71.858,78.90799999999999,85.95599999999999
284,0.12,69.666,77.186,84.69800000000001
285,0.11000000000000001,69.154,77.24,85.322
286,0.08,70.69200000000001,79.142,87.588
287,0.12,71.34400000000001,79.28399999999999,87.218
288,0.12,71.928,79.522,87.11
289,0.12,70.85,78.03999999999999,85.224
290,0.08,70.164,76.838,83.50800000000001
291,0.11000000000000001,70.462,77.34400000000001,84.22
292,0.12,70.364,77.888,85.408
293,0.08,69.18199999999999,76.476,83.762
294,0.12,69.732,77.848,85.96000000000001
295,0.08,66.882,74.554,82.22
296,0.08,65.09400000000001,73.84,82.58
297,0.08,65.702,72.744,79.782
298,0.07,64.998,73.462,81.92
299,0.08,65.84,73.29400000000001,80.744
300,0.08,65.90599999999999,73.89200000000001,81.874
301,0.04,63.694,72.904,82.108
302,0.12,62.775999999999996,72.174,81.566
303,0.08,63.55799999999999,73.46600000000001,83.37
304,0.08,64.625,73.87666666666667,83.12166666666667
305,0.08,65.85833333333333,74.94666666666667,84.03333333333333
306,0.12,66.18666666666667,73.86833333333334,81.545
307,0.11,67.26833333333333,75.63,83.99166666666666
308,0.08,68.55,76.57833333333333,84.59833333333333
309,0.12,69.52,77.07333333333334,84.62
310,0.08,67.68833333333333,76.11999999999999,84.55
311,0.08,66.24333333333333,74.46833333333333,82.69
312,0.08,65.51333333333334,73.80499999999999,82.09333333333333
313,0.08,64.02833333333334,71.10166666666667,78.17166666666667
314,0.08,63.04833333333334,72.47666666666667,81.89833333333333
315,0.03,63.708333333333336,72.84166666666667,81.97166666666666
316,0.08,63.07333333333333,71.14,79.2
317,0.08,61.75833333333333,70.50666666666667,79.245
318,0.08,58.85,65.46166666666666,72.07000000000001
319,0.08,54.870000000000005,61.61833333333334,68.36333333333333
320,0.08,54.836666666666666,64.14333333333333,73.44500000000001
321,0.04,57.275000000000006,67.46333333333334,77.65333333333334
322,0.08,59.27,68.29,77.31
323,0.08,56.50833333333333,67.06666666666666,77.62
324,0.03,56.77,65.99333333333333,75.21499999999999
325,0.08,55.47,65.80666666666667,76.13833333333334
326,0.08,54.68333333333334,64.73333333333333,74.78
327,0.08,54.635,64.115,73.58666666666666
328,0.08,55.001666666666665,65.26166666666667,75.51333333333334
329,0.08,54.977999999999994,66.838,78.69
330,0.08,55.593333333333334,65.76666666666667,75.935
331,0.08,55.278333333333336,65.67,76.05499999999999
332,0.11,56.73833333333334,66.54,76.33333333333333
333,0.08,59.23,69.96666666666667,80.70166666666667
334,0.08,59.943333333333335,70.20166666666667,80.455
335,0.08,58.085,68.04833333333333,78.005
336,0.08,55.096666666666664,63.901666666666664,72.70333333333333
337,0.08,55.06666666666666,64.295,73.51666666666667
338,0.07,53.711666666666666,64.47833333333334,75.24
339,0.08,54.708333333333336,66.73166666666667,78.75
340,0.08,57.74166666666667,66.99666666666667,76.24833333333333
341,0.08,58.69,69.13166666666667,79.57
342,0.12,57.51333333333333,66.845,76.175
343,0.08,53.972,62.918000000000006,71.86
344,0.08,52.26666666666667,61.123333333333335,69.97
345,0.08,54.85666666666666,64.60833333333333,74.355
346,0.07,57.73666666666667,66.28666666666666,74.83166666666666
347,0.08,56.708333333333336,66.99333333333333,77.27333333333333
348,0.12,58.38999999999999,68.485,78.57666666666667
349,0.08,59.49333333333334,68.51333333333334,77.52833333333334
350,0.08,57.30666666666667,66.84666666666666,76.38166666666667
351,0.12,52.92666666666667,63.833333333333336,74.735
352,0.11,54.36333333333334,64.74166666666667,75.12
353,0.08,60.925000000000004,68.30333333333333,75.68333333333334
354,0.12,59.428333333333335,66.815,74.19500000000001
355,0.08,59.711666666666666,65.955,72.19333333333333
356,0.12,57.73833333333334,66.15833333333333,74.57000000000001
357,0.08,57.56,66.08833333333332,74.61333333333333
358,0.08,58.845,67.25666666666666,75.66333333333334
359,0.07,60.28666666666667,69.58999999999999,78.88666666666667
360,0.08,63.723333333333336,71.25833333333334,78.78833333333334
361,0.08,66.04833333333333,72.625,79.19500000000001
362,0.08,64.97,71.18833333333333,77.40166666666667
363,0.04,64.07333333333334,71.41333333333334,78.75
364,0.08,58.42666666666667,66.27166666666666,74.11666666666666
365,0.08,54.239999999999995,64.27,74.29499999999999
